productName,price,division1,division2,division3,seller,update,barcode,id
2%사과350펫어플리,31000,가공식품,과일.채소류음료,과.채음료,롯데칠성음료(주),2015-01-22 11:12:12,8801056042226,19780368002405
2%사과350펫,29000,가공식품,과일.채소류음료,과.채음료,롯데칠성음료(주),2015-01-22 11:12:12,8801056033057,19780368002405
2%사과240캔,9000,가공식품,과일.채소류음료,과.채음료,롯데칠성음료(주),2015-01-22 11:12:12,8801056033026,19780368002405
롯)2%-사과캔,29000,가공식품,과일.채소류음료,과.채음료,롯데칠성음료(주),2015-01-22 11:12:12,8801056005672,19780368002405
핫식스,23000,가공식품,탄산음료류,탄산음료,롯데칠성음료(주),2015-01-22 11:12:12,8801056038861,19780368002342
한국삼 금산명품홍삼 60ml*60포,36000,가공식품,음료류,인삼.홍삼음료,한국삼,2015-01-22 11:12:12,8809228150021,200204672152
한국삼 금산명품홍삼 60ml*30포,22000,가공식품,음료류,인삼.홍삼음료,한국삼,2015-01-22 11:12:12,8809228150014,200204672152
대웅 홍삼 골드,7000,가공식품,음료류,인삼.홍삼음료,(주)동서제약웰빙,2015-01-22 11:12:12,8809253640177,20050555180212
히야 오렌지180ML,20000,가공식품,과일.채소류음료,농축과.채즙(또는 과.채분),롯데칠성음료(주),2015-01-22 11:12:12,8801056924011,19780368002220
보령제약 알틴제로 100ml*3,22000,가공식품,기타음료,혼합음료,보령제약(주),2015-01-22 11:12:12,8806003011522,19940311001126
프리미어 모카 마일드 커피믹스 1㎏,4000,가공식품,음료류,커피,중앙식품산업사,2015-01-22 11:12:12,8804342398984,1995044000242
중앙 모카마일드 1㎏,34000,가공식품,음료류,커피,중앙식품산업사,2015-01-22 11:12:12,8804342387872,1995044000239
커피랑 커피카페 1㎏,3000,가공식품,음료류,커피,중앙식품산업사,2015-01-22 11:12:12,8804342343434,1995044000231
커피랑 커피믹스 1㎏,24000,가공식품,음료류,커피,중앙식품산업사,2015-01-22 11:12:12,8804342310108,1995044000230
장쾌삼 발효홍삼 원(元) 세트 병,35000,가공식품,음료류,인삼.홍삼음료,웅진식품(주),2015-01-22 11:12:12,8801382134749,19960458039283
장괘삼 발효홍삼 원(元) 모둠3호,30000,가공식품,음료류,인삼.홍삼음료,웅진식품(주),2015-01-22 11:12:12,8801382137405,19960458039283
장쾌삼 발효홍삼 수 모듬 4호,10000,가공식품,음료류,인삼.홍삼음료,웅진식품(주),2015-01-22 11:12:12,8801382137382,19960458039282
웅진 장쾌삼 발효홍삼 수 50ml,8000,가공식품,음료류,인삼.홍삼음료,웅진식품(주),2015-01-22 11:12:12,8801382134848,19960458039282
2%부족레몬에이드350펫,4000,가공식품,기타음료,혼합음료,롯데칠성음료(주),2015-01-22 11:12:12,8801056017606,19780614001267
2%부족할때레몬에이드캔,4000,가공식품,기타음료,혼합음료,롯데칠성음료(주),2015-01-22 11:12:12,8801056018160,19780614001267
2%부족레몬에이드1.5펫,24000,가공식품,기타음료,혼합음료,롯데칠성음료(주),2015-01-22 11:12:12,8801056017644,19780614001267
델몬트망고오렌지1.5ℓ+스카시포도1.5ℓ,11000,가공식품,과일.채소류음료,과.채음료,롯데칠성음료(주),2015-01-22 11:12:12,8801056013110,19780614001264
델몬트망고+오렌지기획2.0펫,13000,가공식품,과일.채소류음료,과.채음료,롯데칠성음료(주),2015-01-22 11:12:12,8801056003364,19780614001264
희창유업 카페모카골드 100t,40000,가공식품,음료류,커피,(주)희창유업,2015-01-22 11:12:12,8801746672443,20080614259127
포르테 커피세트 3호,31000,가공식품,음료류,커피,(주)카파아이엔티,2015-01-22 11:12:12,8809057795523,200803581198
